name,ppkg,enpw,eff
unit,price / kg (euro/kg),energy / 100g (kcal/100g),efficiency (kcal/euro)
Everyday hespenworst sneetjes,5.9,205,347.4576271
Everyday gekookte schouderham,8.24,116,140.776699
Boni hespenworst sneetjes,8.6,189,219.7674419
Everyday achterham,11.95,107,89.53974895
Boni ontvette ham glutenvrij,13.54,113,83.45642541
Boni Cobough ham gerookt,13.92,180,129.3103448
Boni ham Zwartewoud,14.45,208,143.9446367
Everyday amb. ham met zwoerd,14.95,112,74.91638796
Boni beenham,15,134,89.33333333
