name,ppkg,enpw,eff
unit,price / kg (euro/kg),energy / 100g (kcal/100g),efficiency (kcal/euro)
Everyday geitenkaas rol gerijpt,8.28,295,356.2801932
Everyday gouda jong blok,7.26,345,475.2066116
Everyday gouda jong blok,7.2,371,515.2777778
Everyday gouda jong sneetjes z. korst,7.1,346,487.3239437
Brie cremerie de france,6.95,360,517.9856115
Boni gouda jong sneetjes,6.87,373,542.9403202
Boni cheddar 10 sneden,6.76,273,403.8461538
Bon emmental 10 sneden,6.44,274,425.4658385
Everyday mozzarella,6,226,376.6666667
Everyday verse kaas look en kruiden,5.52,274,496.3768116
Everyday camembert,5.48,254,463.5036496
